Lng,Lat,tradeTime,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district
116.43164,39.904426,7/30/16,88,450,59761,75.3,2,1,1,1,3,2006,2,6,0.25,1,0,1,1
116.4388,40.054941,7/21/16,61,475,70381,67.49,2,1,1,2,3,2012,4,6,0.174,1,0,1,7
116.457699,39.944441,6/20/16,65,240,40000,60,1,0,1,1,3,2010,4,6,0.128,1,0,1,7
116.249496,40.221791,7/26/16,4,360,24507,146.9,3,2,1,2,4,Î´Öª,4,2,0.5,0,1,0,6
116.425063,40.044097,12/18/16,162,202,39608,51,1,1,1,1,3,2011,3,6,0.182,1,1,1,7
116.334817,39.884391,7/3/16,136,240,70589,34,1,1,1,2,4,2009,4,6,0.222,1,0,0,10
116.22946,40.228274,9/21/16,33,265,30566,86.7,2,1,1,1,4,1996,4,4,0.333,0,0,1,6
116.509143,39.925387,7/19/16,44,355,40909,86.78,2,2,1,1,1,2011,3,6,0.3,1,0,1,7
116.474014,39.913424,10/29/16,62,389,63771,61,2,1,1,1,3,1985,3,6,0.125,1,0,1,7
116.606151,40.051276,1/22/17,172,300,29127,103,3,1,1,1,4,1998,4,2,0.5,0,1,0,7
116.399693,39.972072,9/11/16,92,509,67678,75.21,2,1,1,1,4,1992,4,6,0.158,1,1,1,7
116.560389,40.094933,9/4/16,78,340,25000,136,3,2,1,2,4,2000,3,2,0.5,0,1,1,13
116.368804,39.873549,7/13/16,39,307,51167,60,2,1,1,1,4,1989,3,2,0.5,0,0,0,2
116.154608,39.726495,7/27/16,15,199.5,22167,90,2,1,1,1,4,2010,2,6,0.25,1,0,0,5
116.16608,39.771077,9/30/16,264,210.5,32377,65,1,1,1,1,1,2011,4,6,0.167,1,0,0,5
116.372222,39.880938,9/15/16,34,900,56250,160,5,2,1,2,4,1999,1,2,0.5,0,0,1,10
116.422211,40.011387,7/24/16,16,298,35059,85,1,1,1,1,3,2009,1,6,0.19,1,0,1,7
116.605035,40.051164,9/19/16,72,230,25843,89,3,1,1,1,4,1992,1,4,0.5,0,0,0,7
116.317831,40.039,9/12/16,33,1388,53799,258,5,2,1,3,4,1998,4,2,0.5,0,0,0,8
116.259318,40.217911,7/8/16,14,257,23364,110,2,1,1,1,4,1996,1,2,0.5,0,0,0,6
116.227892,39.780755,9/26/16,19,296,27664,107,3,1,1,1,4,2003,3,2,0.5,0,0,0,5
116.52387,39.923283,7/16/16,3,470,32794,143.32,1,0,0,0,1,Î´Öª,3,6,0.5,1,1,1,7
116.238792,39.852889,7/11/16,29,208,31288,66.48,1,1,1,1,4,2004,1,2,0.5,0,1,0,2
116.47773,40.002156,9/7/16,61,650,49243,132,4,1,1,2,1,1997,4,6,0.25,1,1,1,7
116.508181,39.807662,8/27/16,96,127,26805,47.38,1,1,0,1,1,2008,3,6,0.2,1,1,1,3
116.508181,39.807662,8/29/16,154,145,27272,53.17,1,1,0,0,1,2008,3,6,0.2,1,0,1,3
116.437251,39.962363,6/28/16,132,270,51292,52.64,2,1,1,1,4,1979,4,2,0.333,0,1,1,7
116.351677,39.980567,8/24/16,76,348,58000,60,1,1,1,1,1,1998,3,6,0.2,1,1,1,8
116.364028,39.870465,7/11/16,130,248,45091,55,2,1,1,1,4,1990,4,2,0.5,0,1,0,2
116.471203,39.876684,9/5/16,128,475,34971,135.83,3,1,1,2,1,1998,3,6,0.25,1,1,1,7
116.164506,39.731851,8/23/16,129,188,21600,87.04,2,1,1,1,4,2004,3,2,0.5,0,1,1,5
116.268601,39.933567,6/26/16,63,610,64956,93.91,2,2,1,2,4,2003,4,6,0.333,1,1,0,8
116.511545,39.904464,12/30/16,243,210,42000,50,1,1,1,1,1,2010,4,6,0.105,1,1,1,7
116.342088,39.749733,6/19/16,263,220,30051,73.21,2,1,1,1,4,1992,4,2,0.5,0,1,1,4
116.250662,39.910338,7/12/16,21,283,44116,64.15,2,1,1,1,4,1981,4,2,0.333,0,1,1,9
116.227892,39.780755,8/17/16,88,210,22341,94,2,2,1,1,4,2005,1,2,0.5,0,1,0,5
116.28592,39.935122,7/6/16,80,580,46512,124.7,3,2,1,1,4,1998,3,2,0.5,0,1,0,8
116.451239,39.960643,7/26/16,51,677,40759,166.1,3,1,1,1,3,2002,3,6,0.2,1,0,0,7
116.117019,39.93386,8/31/16,114,153,24252,63.09,2,1,1,1,4,1990,4,2,0.333,0,1,0,12
116.456102,39.931183,7/7/16,24,345,56651,60.9,2,1,1,1,4,1976,3,2,0.333,0,1,1,7
116.4471,39.879796,6/20/16,51,1120,77242,145,3,2,1,2,4,2004,3,6,0.5,1,1,1,1
116.122354,39.937384,8/1/16,80,251.5,25464,98.77,3,1,1,1,4,2001,3,2,0.5,0,1,0,12
116.117724,39.941152,9/30/16,32,460,27480,167.4,4,2,1,2,4,2005,4,2,0.5,0,0,0,12
116.231747,40.230104,7/28/16,6,190,20041,94.81,2,2,1,1,4,1996,3,2,0.5,0,0,0,6
116.119651,39.934504,9/26/16,46,380,22755,167,4,2,1,2,4,2004,3,2,0.5,0,0,0,12
116.122354,39.937384,8/14/16,59,365,25000,146,4,1,1,2,4,2000,3,2,0.5,0,1,0,12
116.122491,39.939735,7/28/16,16,146,28505,51.22,1,1,1,1,4,2008,3,6,0.5,1,1,0,12
116.118409,39.937888,8/4/16,12,285,30685,92.88,2,1,1,1,4,2006,4,6,0.333,1,1,0,12
116.117019,39.93386,7/22/16,39,138.9,21403,64.9,2,1,1,1,4,1989,3,2,0.333,0,1,0,12
116.293654,39.79232,6/16/16,52,260,15991,162.6,3,2,1,2,4,1999,3,2,0.5,0,1,0,4
116.48154,39.918388,8/14/16,61,830,47939,173.14,4,2,1,2,1,2002,4,6,0.375,1,0,1,7
116.245538,40.220033,7/6/16,11,132.7,28606,46.39,2,0,1,1,1,1982,3,4,0.25,0,1,1,6
116.482231,40.009521,6/16/16,225,402,70738,56.83,2,1,1,1,4,1997,4,2,0.5,0,1,1,7
116.342963,40.093175,9/28/16,40,225,44768,50.26,1,1,0,1,4,2004,3,6,0.25,1,0,1,6
116.199293,39.938056,3/9/17,198,391,39692,98.51,3,1,1,1,4,1996,3,2,0.333,0,1,0,9
116.421128,40.068301,8/21/16,33,109,19758,55.17,1,0,0,1,3,2008,4,6,0.167,1,0,1,6
116.345863,39.877035,7/18/16,38,405,56787,71.32,1,1,1,1,3,2008,3,6,0.4,1,0,0,2
116.432684,40.077562,9/29/16,38,700,29615,236.37,6,2,1,4,4,2008,3,6,0.5,1,0,0,6
116.661432,40.180564,9/7/16,76,330,16337,202,4,2,1,2,4,2000,3,2,0.5,0,1,0,13
116.49138,39.938386,8/12/16,13,990,65637,150.83,2,2,1,2,3,2005,4,6,0.444,1,1,1,7
116.673912,40.209832,7/31/16,41,258,28709,89.87,2,2,1,1,4,2008,3,6,0.333,1,1,0,13
116.225111,39.761305,7/31/16,34,270,30034,89.9,3,2,1,1,4,2012,3,6,0.5,1,0,0,5
116.371787,39.905909,8/15/16,85,442,76617,57.69,2,0,1,1,4,1979,3,6,0.107,1,1,1,10
116.225476,40.226443,10/6/16,40,295,25000,118,3,1,1,1,4,2002,1,2,0.5,0,0,1,6
116.333765,40.07892,7/31/16,22,526,37287,141.07,3,1,1,2,4,2005,3,6,0.333,1,1,1,6
116.529485,39.830024,6/30/16,22,620,28031,221.19,4,2,1,2,4,2009,1,6,0.5,0,1,0,4
116.445996,40.069568,8/6/16,10,328,26356,124.45,3,1,1,1,4,2001,2,2,0.5,0,1,0,6
116.3434,40.083322,8/8/16,53,410,27947,146.71,3,1,1,2,4,2003,4,2,0.5,0,1,1,6
116.305898,39.926084,9/19/16,104,1013,69006,146.8,2,1,1,2,3,2006,4,6,0.667,1,1,1,8
116.454043,39.903712,6/30/16,1,220.2,46271,47.59,1,1,1,1,4,1994,1,2,0.333,0,0,1,7
116.410182,40.051959,9/27/16,110,575,47521,121,3,1,1,2,4,2004,4,4,0.5,0,1,0,6
116.296286,39.870107,8/25/16,53,635,32743,193.94,3,2,1,2,1,2001,3,6,0.286,1,0,1,2
116.665923,40.186753,7/25/16,25,58,17576,33,1,0,1,1,4,2014,1,6,0.13,1,0,0,13
116.421128,40.068301,7/24/16,8,106.5,20834,51.12,1,0,1,1,3,2008,4,6,0.174,1,0,1,6
116.444857,39.954789,8/2/16,37,470,42708,110.05,2,2,1,2,3,2006,4,6,0.067,1,0,1,1
116.564416,39.909334,8/10/16,87,205,34207,59.93,1,1,1,1,4,2009,3,2,0.5,0,0,0,7
116.430012,40.066244,10/31/16,52,580,20579,281.85,5,2,1,3,4,Î´Öª,3,2,0.5,0,1,0,6
116.308505,39.839489,4/13/17,93,840,56900,147.63,3,2,1,2,1,2001,3,6,0.214,1,1,1,2
116.520858,39.918846,7/28/16,222,330,29483,111.93,3,2,1,1,4,Î´Öª,2,2,0.5,0,1,1,7
116.345466,40.008394,9/29/16,30,354,56191,63,1,1,1,1,3,2010,4,6,0.222,1,0,1,8
116.122354,39.937384,6/17/16,54,189,23464,80.55,2,1,1,2,4,2000,3,2,0.333,0,1,0,12
116.5038376,39.9307251,7/29/16,26,1890,60823,310.74,4,2,1,3,4,2010,4,6,0.333,0,0,0,7
116.418443,39.866651,8/16/16,310,246.8,46567,53,2,1,1,1,4,1975,3,2,0.333,0,0,0,1
116.437705,39.898038,7/31/16,60,1020,82259,124,3,2,1,2,3,2005,4,6,0.333,1,1,1,1
116.387363,39.864499,7/25/16,55,181,36200,50,1,1,1,1,4,1990,3,2,0.056,0,1,0,2
116.434166,39.948115,1/5/17,56,2200,72132,305,3,2,1,3,1,2008,4,6,0.75,1,0,1,1
116.491073,39.936639,6/23/16,31,200,46083,43.4,1,1,1,1,4,1983,1,4,0.333,0,0,1,7
116.388163,39.841127,8/23/16,106,490,45371,108,3,2,1,1,3,2006,4,6,0.333,1,0,1,2
116.404579,39.978491,8/30/16,185,450,69231,65,2,1,1,1,3,1986,3,6,0.167,1,1,1,7
116.242531,40.201675,9/11/16,223,177,18870,93.8,2,1,1,1,4,2014,3,6,0.333,0,0,0,6
116.460123,39.899975,8/24/16,76,210,50934,41.23,1,1,1,1,4,1981,1,2,0.333,0,1,1,7
116.388606,39.965854,10/25/16,239,560,119684,46.79,1,1,1,1,3,2009,4,6,0.5,1,1,0,10
116.244971,40.21774,7/28/16,32,218,29067,75,1,1,1,1,1,2010,4,6,0.286,1,0,0,6
116.312131,39.970749,8/12/16,34,675,64000,105.47,2,1,1,1,1,1998,3,6,0.25,1,0,1,8
116.38483,40.014138,8/29/16,24,1840,91013,202.17,3,2,1,3,4,2007,4,6,1,1,1,0,7
116.452057,39.941752,7/29/16,14,1158,51014,227,4,2,1,3,1,1997,4,6,0.5,1,1,0,7
116.224012,39.763726,8/17/16,41,280,31275,89.53,3,1,1,1,3,2012,4,6,0.5,1,0,1,5
116.377737,40.012518,8/12/16,13,235,51087,46,1,0,1,1,3,2007,4,6,0.154,1,0,1,7
116.367137,40.040209,6/28/16,67,345,46622,74,3,1,1,1,4,1998,3,2,0.333,0,1,1,8
116.343714,39.996907,11/4/16,17,1680,74009,227,6,2,1,3,1,2003,3,6,0.222,1,1,1,8
116.478996,39.919079,8/7/16,38,495,38077,130,3,1,1,2,1,1998,3,6,0.143,0,1,1,7
116.45831,39.923422,7/23/16,28,315,54152,58.17,1,0,1,1,1,2008,4,6,0.25,1,0,1,7
116.665923,40.186753,7/27/16,22,555,32734,169.55,4,2,1,2,4,2012,1,6,0.5,1,0,0,13
116.45831,39.923422,6/23/16,29,301,52440,57.4,1,0,1,1,1,2008,4,6,0.25,1,0,1,7
116.504911,39.998661,8/31/16,37,1213.8,30097,403.3,6,3,1,4,1,2002,4,6,0.5,1,1,0,7
116.462122,39.923796,8/30/16,22,900,65498,137.41,2,1,1,2,1,2006,4,6,0.75,1,1,1,7
116.24369,40.221606,7/31/16,16,237.6,22416,106,2,1,1,1,4,1993,1,4,0.5,0,1,1,6
116.476687,39.988644,8/14/16,108,213,47334,45,1,1,1,1,4,1993,4,2,0.333,0,0,0,7
116.512916,39.864254,7/14/16,392,163,29637,55,1,1,1,1,3,2007,3,6,0.333,1,1,0,7
116.550348,39.755625,7/24/16,39,440,18360,239.66,4,2,1,4,4,2006,2,6,1,0,0,0,3
116.48837,39.929525,8/24/16,112,276,46000,60,2,0,1,1,4,1979,3,2,0.333,0,1,1,7
116.134792,39.743391,6/29/16,24,118,17788,66.34,1,1,1,1,4,2000,3,6,0.167,1,1,0,5
116.448302,39.960966,9/26/16,36,312,26497,117.75,2,1,1,1,1,2008,4,6,0.4,1,0,0,7
116.384462,39.907534,7/31/16,12,1220,74976,162.72,3,2,1,2,3,1999,4,6,0.5,1,1,1,10
116.254035,40.205429,7/29/16,5,170,24638,69,1,1,1,1,3,2010,1,6,0.5,1,0,0,6
116.467922,39.993105,7/21/16,88,387,46017,84.1,3,1,1,1,1,1995,3,6,0.2,1,1,1,7
116.223565,39.76392,8/29/16,104,261,33110,78.83,2,1,1,1,3,2012,2,6,0.5,1,0,1,5
116.233676,40.231785,8/5/16,108,110,25987,42.33,1,1,1,1,4,2003,3,6,0.02,0,1,1,6
116.414421,40.053513,7/27/16,35,112.6,32172,35,1,0,1,1,3,2007,3,6,0.286,1,0,0,7
116.429293,39.872461,10/24/16,96,120,34823,34.46,1,0,1,1,1,2005,4,6,0.12,1,0,1,2
116.305298,39.979471,9/26/16,62,1700,85587,198.63,4,2,1,2,4,2000,4,2,0.5,1,0,1,8
116.188935,40.054103,6/30/16,10,165,27500,60,1,1,1,1,1,2012,3,6,0.1,1,0,0,8
116.421713,39.971435,7/31/16,273,244,59195,41.22,1,1,1,1,1,1997,4,6,0.222,1,1,1,7
116.305898,39.926084,7/30/16,233,710,65741,108,2,2,1,1,3,2008,4,6,0.667,1,0,1,8
116.382855,39.899213,7/7/16,44,1585,100045,158.43,3,2,1,2,4,2004,4,6,1,1,1,1,10
116.471215,39.903238,9/19/16,118,355,49693,71.44,2,1,1,1,1,1986,3,6,0.333,1,0,1,7
116.259318,40.217911,9/18/16,46,365,19797,184.38,3,2,1,2,4,2001,1,4,0.5,0,0,0,6
116.440728,39.963453,7/31/16,31,600,58732,102.16,1,1,1,1,1,2001,4,6,0.375,1,1,1,7
116.322609,40.089206,6/23/16,79,323.9,25315,127.95,3,2,1,2,4,2008,2,2,0.5,0,1,0,6
116.254113,40.220461,11/13/16,41,288,32360,89,2,1,1,1,4,1998,3,4,0.5,0,1,0,6
116.534997,39.928559,8/5/16,131,450,36338,123.84,3,1,1,2,1,2003,4,6,0.222,1,0,1,7
116.44439,40.093691,9/20/16,2,280,24138,116,3,1,1,1,4,1999,3,2,0.5,0,1,0,6
116.269851,39.897262,9/12/16,226,216,30924,69.85,2,1,1,1,4,1994,3,2,0.333,0,0,0,2
116.461498,39.954426,9/24/16,28,1200,54363,220.74,2,2,1,2,1,2008,4,6,1,1,0,1,7
116.338639,40.079333,7/26/16,60,368,25912,142.02,3,2,1,1,4,2003,4,4,0.5,0,1,1,6
116.432151,39.905567,1/11/17,181,1100,57046,192.83,3,2,1,2,3,1999,3,6,1,1,1,1,1
116.117724,39.941152,8/1/16,51,320.5,27511,116.5,3,1,1,2,3,2006,3,6,0.333,1,1,0,12
116.246651,40.219539,7/17/16,3,98,26134,37.5,1,0,0,1,1,2007,1,6,0.042,0,0,0,6
116.475046,39.88209,9/12/16,569,227,33937,66.89,2,1,1,1,4,1965,4,4,0.333,0,1,1,7
116.37785,39.842419,8/16/16,193,298.8,35572,84,2,1,1,1,1,2009,1,6,0.154,1,0,1,2
116.37785,39.842419,8/17/16,239,108,30858,35,1,0,0,1,1,2009,4,6,0.154,1,1,1,2
116.559953,40.117154,3/5/17,51,150,30688,48.88,1,0,0,1,3,2013,4,6,0.13,1,0,1,13
116.343992,40.078436,8/14/16,119,136,26667,51,1,0,1,1,1,2011,3,6,0.235,1,0,1,6
116.555729,40.162058,6/26/16,15,421,48325,87.12,5,2,1,3,4,2009,4,4,0.5,0,0,0,13
116.254035,40.205429,7/1/16,37,174,25211,69.02,1,1,1,1,3,2010,4,6,0.5,1,0,0,6
116.603852,39.893276,8/12/16,264,314,40780,77,2,1,1,1,4,2008,4,6,0.25,1,1,0,7
116.247907,39.839983,9/17/16,138,344,37457,91.84,2,1,1,1,3,2007,3,6,0.4,1,0,0,2
116.385869,39.772399,6/26/16,97,136,24728,55,1,1,1,1,4,2001,3,2,0.5,0,1,0,4
116.461138,39.955386,8/4/16,90,550,64706,85,1,1,1,1,1,2009,4,6,0.333,1,0,1,7
116.481447,39.937145,1/15/17,106,890,54269,164,3,2,1,2,1,2002,4,6,0.273,1,0,1,7
116.45339,39.942672,8/1/16,32,999,55556,179.82,3,2,1,2,1,1999,4,6,0.333,1,0,0,7
116.508181,39.807662,7/30/16,73,66,20000,33,1,0,1,1,1,2008,4,6,0.2,1,1,1,3
116.468749,39.874429,9/4/16,53,780,33431,233.32,3,2,1,3,1,2001,4,6,0.375,1,1,1,7
116.250886,40.225155,8/7/16,19,283,20963,135,4,1,1,1,4,1996,4,2,0.5,0,0,1,6
116.387037,39.95917,1/7/17,233,644,126250,51.01,1,1,1,1,4,2003,3,6,0.333,0,0,1,10
116.250886,40.225155,8/28/16,12,105,30774,34.12,1,0,1,1,3,2003,3,6,0.057,1,0,1,6
116.559953,40.117154,9/29/16,0,109.8,22875,48,1,0,0,1,3,2013,4,6,0.143,1,0,1,13
116.560906,39.879298,8/7/16,64,450,26655,168.83,4,2,1,3,4,2000,4,2,0.5,0,1,0,7
116.481662,39.878749,7/17/16,121,230,37954,60.6,2,1,1,1,4,1995,3,4,0.167,0,0,1,7
116.493317,39.929564,7/13/16,30,266,45032,59.07,2,1,1,1,4,1988,3,2,0.5,0,1,1,7
116.689244,39.873245,8/20/16,60,544.8,39294,138.65,3,2,1,2,4,2007,3,6,0.5,1,1,1,11
116.440513,39.893796,8/23/16,156,447,78216,57.15,3,1,1,1,4,1985,3,2,0.333,0,1,1,1
116.254035,40.205429,7/27/16,21,375,26545,141.27,3,2,1,2,3,2011,4,6,1,1,0,0,6
116.501958,39.882586,7/20/16,49,200,36246,55.18,1,1,1,1,4,2004,3,6,0.25,1,1,1,7
116.308482,39.943704,8/26/16,73,649,63628,102,3,1,1,1,1,Î´Öª,3,6,0.333,1,0,0,8
116.383928,40.00438,10/8/16,60,2250,86247,260.88,4,2,2,3,3,2010,4,6,1,1,0,1,7
116.422479,40.06389,8/29/16,55,175,31600,55.38,1,0,0,1,1,2004,3,6,0.2,1,0,1,6
116.47136,40.012307,8/21/16,47,463,97597,47.44,1,1,1,1,4,2012,4,6,0.5,1,0,1,7
116.422295,40.133927,7/7/16,93,187.5,21500,87.21,2,1,1,1,4,1999,4,2,0.5,0,1,0,6
116.425063,40.044097,8/24/16,47,293,50518,58,3,1,1,2,3,2011,4,6,0.167,1,0,1,7
116.349509,39.872813,7/7/16,73,295,49167,60,1,1,1,1,1,2007,3,6,0.333,1,1,0,2
116.338433,40.051503,7/26/16,61,448,34199,131,4,2,1,2,4,2000,3,2,0.5,0,1,0,8
